Area_x,Year,average_rain_fall_mm_per_year,Domain_x,Area_y,Element_x,Item_x,Unit_x,Value_x,Domain Code,Domain_y,Area Code,Area,Element Code,Element_y,Item Code,Item_y,Year Code,Unit_y,Value_y
Bangladesh,1990,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,1266.0,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",1990,hg/ha,25661
Bangladesh,1991,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,1287.0,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",1991,hg/ha,26592
Bangladesh,1992,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,1453.0,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",1992,hg/ha,26893
Bangladesh,1993,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,1487.0,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",1993,hg/ha,27185
Bangladesh,1994,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,1594.5,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",1994,hg/ha,25328
Bangladesh,1995,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,1702.0,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",1995,hg/ha,26527
Bangladesh,1996,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,1919.0,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",1996,hg/ha,27629
Bangladesh,1997,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,2035.0,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",1997,hg/ha,27431
Bangladesh,1998,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,2068.0,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",1998,hg/ha,29358
Bangladesh,1999,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,2532.0,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",1999,hg/ha,32139
Bangladesh,2000,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,3170.0,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2000,hg/ha,34836
Bangladesh,2001,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,3295.78,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2001,hg/ha,34020
Bangladesh,2002,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,2954.29,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2002,hg/ha,34902
Bangladesh,2004,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,5587.81,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2004,hg/ha,35359
Bangladesh,2005,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,7605.01,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2005,hg/ha,37814
Bangladesh,2006,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,9074.43,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2006,hg/ha,38541
Bangladesh,2007,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,10962.31,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2007,hg/ha,40833
Bangladesh,2008,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,12936.5,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2008,hg/ha,41441
Bangladesh,2009,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,13790.09,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2009,hg/ha,42404
Bangladesh,2010,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,13283.72,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2010,hg/ha,43422
Bangladesh,2011,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,14798.28,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2011,hg/ha,43917
Bangladesh,2012,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,13289.18,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2012,hg/ha,44206
Bangladesh,2013,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,15330.16,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2013,hg/ha,45317
Bangladesh,2014,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,15857.26,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2014,hg/ha,46226
Bangladesh,2015,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,13364.42,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2015,hg/ha,45093
Bangladesh,2016,2666,Pesticides Use,Bangladesh,Use,Pesticides (total),tonnes of active ingredients,14387.63,QC,Crops,16,Bangladesh,5419,Yield,27,"Rice, paddy",2016,hg/ha,46188
